id,name,quantity
1,Sony Turntable - PSLX350H,552
2,Bose Acoustimass 5 Series III Speaker System - AM53BK,580
3,Sony Switcher - SBV40S,4696
4,Sony 5 Disc CD Player - CDPCE375,5644
5,Bose 27028 161 Bookshelf Pair Speakers In White - 161WH,6284
6,Denon Stereo Tuner - TU1500RD,6493
7,KitchenAid Pasta Roller And Cutter - KPRA,6726
8,Panasonic Yeast Pro Automatic Breadmaker - SDYD250,6742
9,Sony Vertical-In-The-Ear Stereo Headphones - MDRJ10,7195
10,Panasonic 2-Line Integrated Telephone - KXTSC14W,7783
11,Panasonic Integrated Telephone System - KXTS108W,7936
12,Panasonic 2-Line Integrated Telephone System - KXTS208W,8060
13,Sony 300 Disc CD Changer - CDPCX355,8552
14,Sony 400 Disc MegaStorage CD Changer - CDPCX455,9071
15,Panasonic Hands-Free Headset - KXTCA86,9312
16,Panasonic Hands Free Headset - KXTCA92,9314
17,Cuisinart Convection-Oven-Toaster-Broiler With Exact Heat Sensor - TOB165WH,9355
18,Frigidaire 24' White Built-In Dishwasher - FDB130WH,9546
19,Cuisinart Cordless Electric Kettle - KUA17,9646
20,Omnimount Wall Speaker Mount - 20WLBK,9735